Field,Type,Null,Key,Default,Extra
id,int(11),NO,PRI,NULL,auto_increment
password,varchar(128),NO,,NULL,
last_login,datetime(6),YES,,NULL,
is_superuser,tinyint(1),NO,,NULL,
username,varchar(150),NO,UNI,NULL,
first_name,varchar(30),NO,,NULL,
last_name,varchar(150),NO,,NULL,
email,varchar(254),NO,,NULL,
is_staff,tinyint(1),NO,,NULL,
is_active,tinyint(1),NO,,NULL,
date_joined,datetime(6),NO,,NULL,
avatar,varchar(200),NO,,NULL,
qq,varchar(12),NO,,NULL,
phone,varchar(20),NO,,NULL,
address,varchar(200),NO,,NULL,
expend,double,NO,,NULL,
grade,int(11),NO,,NULL,
balance,double,NO,,NULL,
user_type,int(11),NO,,NULL,
